;;;; 5.825 ;; 64.236 ; 27.989 ; 36.247 ; 163.552 ;;; -   ;;;; 65.139 ;;;;;;; 91.305 ;;;;;;; 117.252 ;;;;;;; 138.994 ;;;;;;; 163.552 ;;;;
;;;;Meta;Linha;Estoque;Pedidos;Saldo;Saldo Final;;;APONTAMENTO;;02/mai;Pedidos Semana 14;Saldo;05/mai;06/mai;07/mai;08/mai;09/mai;Pedidos Semana 15;Saldo;12/mai;13/mai;14/mai;15/mai;16/mai;Pedidos Semana 16;Saldo;19/mai;20/mai;21/mai;22/mai;23/mai;Pedidos Semana 17;Saldo;26/mai;27/mai;28/mai;29/mai;30/mai;Pedidos Semana 18;Saldo;;Previsão Produção;;
Aro 12;BICICLETA ABSOLUTE ARO 12;100780160003;;;BICICLETA ARO 12 ABSOLUTE KIDS PRINC;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;0;
Aro 12;;100690160001;;;BICICLETA ARO 12 ALEGRIA;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;0;
Aro 12;;101350160000;;;BICICLETA ARO 12 BARBIE;3840; 154 ; 3.686 ; 3.686 ;;7,86%;;;; 2 ; 3.838 ;;;;;; 25 ; 3.813 ;;;;;; 3 ; 3.810 ;;;;;; 44 ; 3.766 ;;;;;; 80 ; 3.686 ; -   ;0;0;
Aro 12;BICICLETA NATHOR ARO 12;100010160035; ; ;BICICLETA ARO 12 BLACK 12 4;686; 2.855 ;-2.169 ; 7.081 ;15,12%;15,09%;;;; 505 ; 181 ;;;;;; 628 ;-447 ;;;;;; 205 ;-652 ;3500;2250;;;; 1.219 ; 3.879 ;;;;;3500; 298 ; 7.081 ; -   ;9250;13200;
Aro 12;BICICLETA NATHOR ARO 12;100010160039; ; ;BICICLETA ARO 12 CAT 01 SELIM PU;-373; 971 ;-1.344 ; 2.156 ;4,63%;4,60%;;;3500; 6 ; 3.121 ;;;;;; 18 ; 3.103 ;;;;;; 329 ; 2.774 ;;;;;; 200 ; 2.574 ;;;;;; 418 ; 2.156 ; -   ;3500;3300;
Aro 12;BICICLETA CALOI ARO 12;100150160020;;;BICICLETA ARO 12 CECIZINHA 2023;1327; 105 ; 1.222 ; 1.222 ;0,88%;2,60%;;;; -   ; 1.327 ;;;;;; 35 ; 1.292 ;;;;;; -   ; 1.292 ;;;;;; 2 ; 1.290 ;;;;;; 68 ; 1.222 ; -   ;0;0;
Aro 12;BICICLETA NATHOR ARO 12;100010160050; ; ;BICICLETA ARO 12 CHARM;460; 667 ;-207 ; 2.043 ;5,35%;4,35%;;;; 3 ; 457 ;;;;;; 185 ; 272 ;;;;;; 74 ; 198 ;;;;;2250; 205 ; 2.243 ;;;;;; 200 ; 2.043 ; -   ;2250;3300;
Aro 12;BICICLETA WCA ARO 12;100730160001;;;BICICLETA ARO 12 DINOSSAURO;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;0;
Aro 12;BICICLETA CICLO CAIRU ARO 12;100170160014;;;BICICLETA ARO 12 FEMININA LILLY 03;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;0;
Aro 12;BICICLETA CICLO CAIRU ARO 12;100170160010; ; ;BICICLETA ARO 12 FEMININA VIOLETA 02;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;0;
Aro 12;BICICLETA NATHOR ARO 12;100010160036; ; ;BICICLETA ARO 12 FIRE MAN 10;2; -   ; 2 ; 2 ;9,78%;0,00%;;;; -   ; 2 ;;;;;; -   ; 2 ;;;;;; -   ; 2 ;;;;;; -   ; 2 ;;;;;; -   ; 2 ; -   ;0;0;
