;;;; 6.035 ;; 95.579 ; 22.108 ; 73.471 ; 96.581 ;;; 1.080 ;;;; 96.659 ;;;;;;; 96.659 ;;;;;;; 96.659 ;;;;;;; 96.659 ;;;;;;; 96.581 ;;;;
;;;;Meta;Linha;Estoque;Pedidos;Saldo;Saldo Final;;;APONTAMENTO;;02/mai;Pedidos Semana 18;Saldo;05/mai;06/mai;07/mai;08/mai;09/mai;Pedidos Semana 19;Saldo;12/mai;13/mai;14/mai;15/mai;16/mai;Pedidos Semana 20;Saldo;19/mai;20/mai;21/mai;22/mai;23/mai;Pedidos Semana 21;Saldo;26/mai;27/mai;28/mai;29/mai;30/mai;Pedidos Semana 22;Saldo;;Previsão Produção;;
Triciclo; 13.997 ;;; 120 ;Capacete; 1.547 ; 254 ; 1.293 ; 1.688 ;;; 95 ; -   ; -   ; -   ; 1.642 ; -   ; -   ; -   ; -   ; -   ; -   ; 1.642 ; -   ; -   ; -   ; -   ; -   ; -   ; 1.642 ; -   ; -   ; -   ; -   ; -   ; -   ; 1.642 ; -   ; -   ; 100 ; 100 ; 100 ; 254 ; 1.688 ;; 395 ;;
Capacete; 1.688 ;;; 850 ;Triciclo; 11.129 ; 957 ; 10.172 ; 13.997 ;;; 825 ; -   ; -   ; -   ; 11.954 ; -   ; -   ; -   ; -   ; -   ; -   ; 11.954 ; -   ; -   ; -   ; -   ; -   ; -   ; 11.954 ; -   ; -   ; -   ; -   ; -   ; -   ; 11.954 ; -   ; 750 ; 750 ; 750 ; 750 ; 957 ; 13.997 ;; 3.825 ;;
;;;;;; 95.579 ; 22.108 ; 73.471 ; 96.581 ;;;;;;; 96.659 ;;;;;;; 96.659 ;;;;;;; 96.659 ;;;;;;; 96.659 ;;;;;;; 96.581 ;;;;
Linha;Descricao Familia;Codigo Produto;Compl. 1;Compl. 2;Descricao Produto;Estoque;Pedidos;Saldo; Saldo Final ;%historico;%real;APONTAMENTO;;02/mai;Pedidos Semana 18;Saldo;05/mai;06/mai;07/mai;08/mai;09/mai;Pedidos Semana 19;Saldo;12/mai;13/mai;14/mai;15/mai;16/mai;Pedidos Semana 20;Saldo;19/mai;20/mai;21/mai;22/mai;23/mai;Pedidos Semana 21;Saldo;26/mai;27/mai;28/mai;29/mai;30/mai;Pedidos Semana 22;Saldo;;Previsão Produção;;
Aro 12;BICICLETA NATHOR ARO 12;100010160051; ; ;BICICLETA ARO 12 ANTONELLA BABY ROSA 02;0; -   ; -   ; -   ;;0,00%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA NATHOR ARO 12;100010160026;;;BICICLETA ARO 12 AQUA 2;0; -   ; -   ; -   ;;0,00%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA ABSOLUTE ARO 12;100780160000;;;BICICLETA ARO 12 ABSOLUTE KIDS DINO;0; -   ; -   ; -   ;;0,00%;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA ABSOLUTE ARO 12;100780160001;;;BICICLETA ARO 12 ABSOLUTE KIDS UNIC;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA ABSOLUTE ARO 12;100780160002;;;BICICLETA ARO 12 ABSOLUTE KIDS TUBA;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
Aro 12;BICICLETA ABSOLUTE ARO 12;100780160003;;;BICICLETA ARO 12 ABSOLUTE KIDS PRINC;0; -   ; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ;;;;;; -   ; -   ; -   ;0;;
