CODIGO_PRODUTO;Complemento;DESCRICAO_PRODUTO;CODIGO_COMPONENTE;Complemento_Componente;DESCRICAO_COMPONENTE
100130160024;   ;BICICLETA ARO 16 PIXIE 2 ;207010180003;0006  ;PINTURA QUADRO ARO 16 LILAS BANDEIRANT ES 
100130160024;   ;BICICLETA ARO 16 PIXIE 2 ;207010180005;0001  ;PINTURA TAMPA DA MESA PRETO 
100130160024;   ;BICICLETA ARO 16 PIXIE 2 ;207010180007;0001  ;PINTURA ABRACADEIRA SELIM 16/BALANCE 
100130160024;   ;BICICLETA ARO 16 PIXIE 2 ;207010180013;0001  ;PINTURA CANOTE DO SELIM PRETO 
100130160024;   ;BICICLETA ARO 16 PIXIE 2 ;504010130007;   ;TINTA EM PO PRETA 
100130160024;   ;BICICLETA ARO 16 PIXIE 2 ;504010130025;   ;TINTA EM PO LILAS - BANDEIRANTES 
100130160024;   ;BICICLETA ARO 16 PIXIE 2 ;504010130074;   ;TINTA EM PO PRETO W-ECO  
100130160025;   ;BICICLETA ARO 16 LADY 3 ;207010180001;0062  ;PINTURA GARFO DIANTEIRO ARO 16 CORAL PI NK 
100130160025;   ;BICICLETA ARO 16 LADY 3 ;207010180002;0062  ;PINTURA GUIDAO ARO 16 CORAL PINK 
100130160025;   ;BICICLETA ARO 16 LADY 3 ;207010180003;0062  ;PINTURA QUADRO ARO 16 CORAL PINK 
100130160025;   ;BICICLETA ARO 16 LADY 3 ;207010180005;0001  ;PINTURA TAMPA DA MESA PRETO 
100130160025;   ;BICICLETA ARO 16 LADY 3 ;207010180007;0001  ;PINTURA ABRACADEIRA SELIM 16/BALANCE 
100130160025;   ;BICICLETA ARO 16 LADY 3 ;207010180013;0001  ;PINTURA CANOTE DO SELIM PRETO 
100130160025;   ;BICICLETA ARO 16 LADY 3 ;504010130007;   ;TINTA EM PO PRETA 
100130160025;   ;BICICLETA ARO 16 LADY 3 ;504010130072;   ;TINTA EM PO CORAL PINK 
100130160025;   ;BICICLETA ARO 16 LADY 3 ;504010130074;   ;TINTA EM PO PRETO W-ECO  
100130160026;   ;BICICLETA ARO 16 TOP GIRLS 6 ;207010180001;0013  ;PINTURA GARFO DIANTEIRO ARO 16 ROSA ES CURO 
100130160026;   ;BICICLETA ARO 16 TOP GIRLS 6 ;207010180002;0013  ;PINTURA GUIDAO ARO 16 ROSA ESCURO 
100130160026;   ;BICICLETA ARO 16 TOP GIRLS 6 ;207010180003;0013  ;PINTURA QUADRO ARO 16 ROSA ESCURO 
100130160026;   ;BICICLETA ARO 16 TOP GIRLS 6 ;207010180005;0001  ;PINTURA TAMPA DA MESA PRETO 
100130160026;   ;BICICLETA ARO 16 TOP GIRLS 6 ;207010180007;0001  ;PINTURA ABRACADEIRA SELIM 16/BALANCE 
100130160026;   ;BICICLETA ARO 16 TOP GIRLS 6 ;207010180013;0001  ;PINTURA CANOTE DO SELIM PRETO 
100130160026;   ;BICICLETA ARO 16 TOP GIRLS 6 ;504010130002;   ;TINTA EM PO ROSA ESCURO 
100130160026;   ;BICICLETA ARO 16 TOP GIRLS 6 ;504010130007;   ;TINTA EM PO PRETA 
100130160026;   ;BICICLETA ARO 16 TOP GIRLS 6 ;504010130074;   ;TINTA EM PO PRETO W-ECO  
100130160027;   ;BICICLETA ARO 16 EXTREME 2 ;207010180001;0018  ;PINTURA GARFO DIANTEIRO ARO 16 LARANJA 
100130160027;   ;BICICLETA ARO 16 EXTREME 2 ;207010180002;0018  ;PINTURA GUIDAO ARO 16 LARANJA 
100130160027;   ;BICICLETA ARO 16 EXTREME 2 ;207010180003;0018  ;PINTURA QUADRO ARO 16 LARANJA 
100130160027;   ;BICICLETA ARO 16 EXTREME 2 ;207010180005;0001  ;PINTURA TAMPA DA MESA PRETO 
100130160027;   ;BICICLETA ARO 16 EXTREME 2 ;207010180007;0001  ;PINTURA ABRACADEIRA SELIM 16/BALANCE 
100130160027;   ;BICICLETA ARO 16 EXTREME 2 ;207010180013;0001  ;PINTURA CANOTE DO SELIM PRETO 
100130160027;   ;BICICLETA ARO 16 EXTREME 2 ;504010130007;   ;TINTA EM PO PRETA 
100130160027;   ;BICICLETA ARO 16 EXTREME 2 ;504010130019;   ;TINTA EM PO LARANJA FOSCO 
100130160027;   ;BICICLETA ARO 16 EXTREME 2 ;504010130074;   ;TINTA EM PO PRETO W-ECO  
100130160028;   ;BICICLETA ARO 16 TECH BOYS 6 ;207010180001;0001  ;PINTURA GARFO DIANTEIRO ARO 16 PRETO 
100130160028;   ;BICICLETA ARO 16 TECH BOYS 6 ;207010180002;0001  ;PINTURA GUIDAO ARO 16 PRETO 
100130160028;   ;BICICLETA ARO 16 TECH BOYS 6 ;207010180003;0001  ;PINTURA QUADRO ARO 16 PRETO 
100130160028;   ;BICICLETA ARO 16 TECH BOYS 6 ;207010180005;0001  ;PINTURA TAMPA DA MESA PRETO 
100130160028;   ;BICICLETA ARO 16 TECH BOYS 6 ;207010180007;0001  ;PINTURA ABRACADEIRA SELIM 16/BALANCE 
100130160028;   ;BICICLETA ARO 16 TECH BOYS 6 ;207010180013;0001  ;PINTURA CANOTE DO SELIM PRETO 
100130160028;   ;BICICLETA ARO 16 TECH BOYS 6 ;504010130007;   ;TINTA EM PO PRETA 
100130160028;   ;BICICLETA ARO 16 TECH BOYS 6 ;504010130074;   ;TINTA EM PO PRETO W-ECO  
100130160029;   ;BICICLETA ARO 16 APOLLO 4 ;207010180001;0045  ;PINTURA GARFO DIANTEIRO ARO 16 VERDE KA WASAKI 
