CODIGO_PRODUTO;Complemento;DESCRICAO_PRODUTO;CODIGO_COMPONENTE;Complemento_Componente;Componente;LINHA;DESCRICAO_COMPONENTE;DESC_COR;CODIGO_COR;DESCRICAO_COR;Linha;Peças p/ gancheira;Espaçamento;PINOS ;Estoque Gancheiras;Altura;Largura;Peso (kg)
100040160010.0;   ;KIT BICICLETA ARO 12 MASCULINA VERMEL HA ;304510180003.0;0002  ;Pedivela 12;Aro 12;PINTURA PEDIVELA BRANCO ;branca;504010130001.0;TINTA EM PO BRANCA;Aro 12;44.0;0,80;1.0;150.0;1,53;60c;2,500
100040160010.0;   ;KIT BICICLETA ARO 12 MASCULINA VERMEL HA ;504010130001.0;   ;;;TINTA EM PO BRANCA ;;;;;;;;;;;
100040160010.0;   ;KIT BICICLETA ARO 12 MASCULINA VERMEL HA ;504010130007.0;   ;;;TINTA EM PO PRETA ;;;;;;;;;;;
100040160010.0;   ;KIT BICICLETA ARO 12 MASCULINA VERMEL HA ;504010130010.0;   ;;;TINTA EM PO VERMELHO ;;;;;;;;;;;
100130160009.0;   ;BICICLETA ARO 16 TECH BOYS 5 ;207010180001.0;0001  ;Garfo 16;Aro 16;PINTURA GARFO DIANTEIRO ARO 16 PRETO ;preta;504010130007.0;TINTA EM PO PRETA;Aro 16;24.0;1,20;2.0;57.0;1,71;95c;4,260
100130160009.0;   ;BICICLETA ARO 16 TECH BOYS 5 ;207010180002.0;0001  ;Guidão 16;Aro 16;PINTURA GUIDAO ARO 16 PRETO ;preta;504010130007.0;TINTA EM PO PRETA;Aro 16 ;26.0;1,20;2.0;116.0;1,94;23c;2,480
100130160009.0;   ;BICICLETA ARO 16 TECH BOYS 5 ;207010180003.0;0001  ;Quadro 16;Aro 16;PINTURA QUADRO ARO 16 PRETO ;preta;504010130007.0;TINTA EM PO PRETA;Aro 16;6.0;1,20;3.0;95.0;1,70;64c;2,400
100130160009.0;   ;BICICLETA ARO 16 TECH BOYS 5 ;207010180005.0;0001  ;Tampa da Mesa 16;Aro 16;PINTURA TAMPA DA MESA PRETO ;preta;504010130007.0;TINTA EM PO PRETA;Aro 16;70.0;0,80;1.0;20.0;1,75;62c;8,000
100130160009.0;   ;BICICLETA ARO 16 TECH BOYS 5 ;207010180007.0;0001  ;Abraçadeira 16;Aro 16;PINTURA ABRACADEIRA SELIM 16/BALANCE ;preta;504010130007.0;TINTA EM PO PRETA;Aro 16;130.0;0,80;1.0;30.0;1,75;62c;8,000
100130160009.0;   ;BICICLETA ARO 16 TECH BOYS 5 ;504010130007.0;   ;;;TINTA EM PO PRETA ;;;;;;;;;;;
100130160024.0;   ;BICICLETA ARO 16 PIXIE 2 ;207010180001.0;0006  ;Garfo 16;Aro 16;PINTURA GARFO DIANTEIRO ARO 16 LILAS BAN DEIRANTES ;lilas - bandeirantes;504010130025.0;TINTA EM PO LILAS - BANDEIRANTES;Aro 16;24.0;1,20;2.0;57.0;1,71;95c;4,260
100130160024.0;   ;BICICLETA ARO 16 PIXIE 2 ;207010180002.0;0006  ;Guidão 16;Aro 16;PINTURA GUIDAO ARO 16 LILAS BANDEIRANTE S ;lilas - bandeirantes;504010130025.0;TINTA EM PO LILAS - BANDEIRANTES;Aro 16 ;26.0;1,20;2.0;116.0;1,94;23c;2,480
100130160024.0;   ;BICICLETA ARO 16 PIXIE 2 ;207010180003.0;0006  ;Quadro 16;Aro 16;PINTURA QUADRO ARO 16 LILAS BANDEIRANT ES ;lilas - bandeirantes;504010130025.0;TINTA EM PO LILAS - BANDEIRANTES;Aro 16;6.0;1,20;3.0;95.0;1,70;64c;2,400
100130160024.0;   ;BICICLETA ARO 16 PIXIE 2 ;207010180005.0;0001  ;Tampa da Mesa 16;Aro 16;PINTURA TAMPA DA MESA PRETO ;preta;504010130007.0;TINTA EM PO PRETA;Aro 16;70.0;0,80;1.0;20.0;1,75;62c;8,000
100130160024.0;   ;BICICLETA ARO 16 PIXIE 2 ;207010180007.0;0001  ;Abraçadeira 16;Aro 16;PINTURA ABRACADEIRA SELIM 16/BALANCE ;preta;504010130007.0;TINTA EM PO PRETA;Aro 16;130.0;0,80;1.0;30.0;1,75;62c;8,000
